pxcor,pycor,patchrent,OAID,patch_borough,spend,reachable_pubs,reachable_consumers,reachable_spending,initial_pubs,dead_pubs,current_pubs
-87,-13,4685.000000000001,E00012179,Hillingdon,243502,2,8,1130671,0,0,0
-8,2,14660.000000000002,E00015184,Lambeth,86938,21,254,44740895,1,2,0
50,-35,4330.000000000001,E00003508,Bromley,91484,7,72,4707484,0,0,0
36,29,3880.0000000000005,E00019014,Redbridge,48967.09,13,136,8311768,0,0,0
65,41,5539.999999999999,E00011657,Havering,68802,7,81,4451134,0,0,0
-55,12,6865.000000000001,E00006054,Ealing,191583.06,20,137,19938395,0,0,0
-21,-21,6000.000000000001,E00022598,Wandsworth,165049,31,178,32717066,0,0,0
41,-55,5500,E00003645,Bromley,103560,3,5,1781611,0,0,0
39,-74,5000,E00003655,Bromley,3763622,4,1,3763622,0,0,0
-24,-1,12840,E00014561,Kensington and Chelsea,232325.07999999996,50,379,82746036,0,0,0
-59,-25,8100,E00019556,Richmond upon Thames,148207.83,12,86,13240326,1,1,0
11,10,6429.999999999998,E00021560,Tower Hamlets,119123.12,35,291,39759117,3,0,4
-21,-5,10965,E00023047,Wandsworth,139925.92857142858,33,290,61115622,0,0,0
-65,40,5505,E00010791,Harrow,114988,15,92,9450177,0,0,1
-17,-43,5390,E00021000,Sutton,93390.06,16,119,10695686,0,0,0
75,46,3589.999999999999,E00011462,Havering,27420,5,103,3355224,0,0,0
60,9,4500,NaN,NaN,NaN,0,5,213622,0,0,0
-18,-53,5500,E00020685,Sutton,146069,7,79,12244644,0,0,0
30,-28,7760,E00004013,Bromley,109604,11,68,7883883,0,0,0
-98,45,6000.000000000001,E00012166,Hillingdon,132222,2,11,1573502,0,0,0
-44,4,5630,E00179160,Ealing,63459.62,29,177,24207656,0,0,0
52,-34,4315,E00003503,Bromley,68181,3,45,2737144,0,0,0
43,-19,5229.999999999999,E00002247,Bexley,67607,10,100,7841773,0,0,0
30,5,7600,E00174992,Newham,66987.14545454546,7,76,4807629,0,0,0
-63,-3,5630,E00013310,Hounslow,237240,13,63,9645567,0,0,0
-89,7,5000,E00184456,Hillingdon,79201,13,86,10398434,0,1,0
26,39,6540,E00018499,Redbridge,67545.13999999998,6,105,6802533,0,0,0
29,-15,3900,E00008249,Greenwich,76331,14,99,8375052,0,0,1
-23,-50,4765.000000000001,E00181016,Sutton,141634.04,24,170,20337410,0,0,0
71,-2,4140.000000000001,E00002117,Bexley,42903,2,15,598701,0,0,0
-11,26,8800,E00183723,Islington,163317.34000000003,48,298,50400983,1,0,1
30,-6,4845,E00008230,Greenwich,85216.73999999999,17,122,10643999,0,0,0
30,-54,5920,E00003646,Bromley,291420,0,3,728227,0,0,0
40,17,3500.000000000001,E00175122,Barking and Dagenham,20557,10,125,7224082,0,0,0
14,53,4150.000000000001,E00007336,Enfield,23094,7,65,4032972,0,1,0
31,-66,5529.999999999999,E00003161,Bromley,102099.19,5,29,3196729,0,0,0
11,45,4720,E00022130,Waltham Forest,46251,3,76,3705944,0,0,0
30,-37,5600,E00182596,Bromley,79502,12,74,7886922,0,0,0
-40,13,5700,E00006203,Ealing,122505,14,81,10066253,0,0,0
20,56,5560,E00021890,Waltham Forest,95611,6,69,5228920,0,0,0
19,20,5000.000000000001,E00182117,Newham,161216,20,183,16112567,0,0,0
-51,40,5410,E00011003,Harrow,97283,11,119,12588936,1,0,1
-4,-21,5695.000000000001,E00015553,Lambeth,106836.81999999998,19,192,23949247,0,0,0
-47,-49,5500,E00014837,Kingston upon Thames,110719,7,57,7223654,1,0,1
-15,-39,4855.000000000001,E00180957,Sutton,68737,6,64,5209268,0,0,0
13,44,4555.000000000001,E00022127,Waltham Forest,63619,5,107,5775641,0,1,0
-94,21,4400.000000000001,E00012516,Hillingdon,253522,13,49,7859070,1,0,1
10,61,3800,E00007472,Enfield,51145.55,7,89,3880828,0,0,0
21,32,4780,E00022313,Waltham Forest,70741.54000000001,16,185,10025265,0,0,0
-12,-60,5015,E00020667,Sutton,211463,4,32,6222091,0,0,0
4,-25,6025,E00003637,Bromley,80358,21,159,15933374,0,0,0
-85,12,5160,E00012011,Hillingdon,174285.11000000002,15,83,12105921,0,0,0
14,15,7460,E00021306,Tower Hamlets,85595,31,292,34107821,0,0,1
-9,54,7480,E00007579,Enfield,103811,11,99,9140528,0,0,0
-8,-74,4000,E00005060,Croydon,126357,3,16,2203242,0,0,0
-28,-55,5590,E00020700,Sutton,374289,6,62,13454209,0,0,0
-51,31,5500,E00002803,Brent,104146,7,98,11241411,0,0,0
52,37,3880,E00000143,Barking and Dagenham,42094,9,80,5175493,0,0,0
73,35,5615,E00011355,Havering,86146,7,83,5397833,0,0,0
-13,-22,5620,E00170956,Wandsworth,214693,20,236,39510789,0,0,0
79,31,5500,E00011257,Havering,62630,4,58,3685334,0,0,0
-66,-19,6645.000000000001,E00019309,Richmond upon Thames,128286,17,102,12392768,0,0,0
-74,6,3900,E00012477,Hillingdon,156080,10,105,12390407,0,0,0
-83,11,4680,E00011988,Hillingdon,108652.12000000001,12,90,12754642,0,0,0
-84,36,5214.999999999999,E00012608,Hillingdon,199317,5,24,5270626,0,1,0
12,-56,3690,E00005577,Croydon,147015,11,50,5167494,0,0,0
8,-33,5195.000000000001,E00003410,Bromley,81489,23,162,13471253,0,0,0
-58,7,6000,E00006234,Ealing,118757,24,160,21249813,0,0,0
43,-29,6355,E00003339,Bromley,138559,4,30,2726159,0,1,0
11,40,5070.000000000001,E00185800,Waltham Forest,55572,10,143,6981161,0,0,0
-3,-29,4810.000000000001,E00005785,Croydon,126696,11,135,15059715,0,0,0
-63,48,5600,E00010743,Harrow,34177,2,30,3587197,0,0,0
-36,15,6240,E00009369,Hammersmith and Fulham,343369,14,124,11512213,0,1,0
-88,39,6000,E00012332,Hillingdon,423202,2,6,1634408,0,0,0
-23,0,15000.000000000002,E00014579,Kensington and Chelsea,212635.96999999994,48,356,78533758,2,0,2
-47,42,6000,E00010633,Harrow,106358.95,9,138,12498994,0,0,0
-7,69,6450,E00007029,Enfield,90725,0,20,1473339,0,0,0
-30,61,5954.999999999999,E00001433,Barnet,79968,8,69,6996253,0,0,0
62,45,4315,E00011522,Havering,48759.280000000006,9,81,3942977,1,0,2
20,46,5530,E00022037,Waltham Forest,69785.65,10,105,6959303,1,0,1
29,41,5300,E00018920,Redbridge,70426.33,5,114,7195982,0,0,1
29,-32,5595,E00003135,Bromley,107195,19,92,10762358,0,1,0
-54,21,5790,E00006537,Ealing,139461,13,112,11268274,0,0,0
-63,39,5475,E00010842,Harrow,105147.7,16,122,11596777,0,0,0
57,8,4500.000000000001,E00002296,Bexley,43763,1,13,640469,0,0,0
-29,34,6265.000000000001,E00001097,Barnet,184840,9,115,15549146,0,0,0
44,-3,3919.999999999999,E00008316,Greenwich,79869,15,132,8754455,0,0,0
-65,-20,6880,E00019631,Richmond upon Thames,120700,16,102,12750600,1,1,0
